,text,label
123,"When you guard the oil ministry, but you don't guard the nuclear facilities, the message to a lot of people is maybe, ""Wow, maybe they're interested in our oil.""",0
124,"I, too, want to extend my prayers and blessings, God's blessings on the families whose lives were overturned yes -- tod -- last night.",0
125,"See, what you see is what you get and if you don't like it, you got two other choices, right?",0
126,Right now we heard it.,0
127,But we all know that we've still got a lot of work to do.,0
128,Our airports are like from a third world country.,0
129,It's one of the reasons why 50 national security officials who served in Republican information -- in administrations...,1
130,It has not worked the way that it has been promised.,1
131,"You think it was fine to delete 33,000 e-mails?",0
132,"Well, I would say first of all that Senator's - Kennedy's statement that he's just made is not going to help our Gallup Polls abroad and it isn't going to help our prestige either.",0
133,"I think that defense needs to be -- with fewer people in permanent armed services but with greater mobility on the land, in the air and on the sea, with a real dedication to continuing development of high technology weaponry and well trained people.",0
134,I don't think we ought to join that.,0
135,"I would take eh - the strongest possible measures short of uh - actual military uh - action there by our own troops, but I doubt that that would be an eventuality.",0
136,"President Truman vetoed on the average, while he was president, about thirty-eight bills a year.",1
137,"We've got to be a nation blessed with a defense capability that's efficient, tough, capable, well organized, narrowly focused - fighting capability.",0
138,I think they stand for civil rights.,0
139,I also want to make sure that we get this economy going.,0
140,It's been very strong since I've been president.,0
141,You know my opinion on North Korea.,0
142,"Number two, open up more trade, particularly in Latin America.",0
143,I believe everybody who pays taxes ought to get tax relief.,0
144,He's going to probably go to jail.,0
145,And production on private -- on government land --,0
146,"I just want to make this point, Jim.",0
147,Is the senior citizen better off because inflation is not wiping out their family's savings?,0
148,And Iraq is not even the center of the focus of the war on terror.,0
149,"If you have to do things, you have to do things, and you work with the Pakistani government.",0
150,I hope by the time I am president that we will have pushed ISIS out of Iraq.,0
151,"I know they're popular, but I'm against them.",0
152,Everybody knows how to fix them.,0
153,And I think the federal government could be in a position where we would offer and provide that.,0
154,"What really matters is what happens to your future and what happens to our country as we stand on the brink of a new century, a time of extraordinary possibility.",0
155,She had a chance to do something with Syria.,0
156,"And Social Security is not enough for a lot of people to live on, or at least is not enough for them to maintain anything like their previous lifestyle.",1
157,"Like Jerry Brown, the 800 number.",1
158,"Coal will last for 1,000 years in this country.",1
159,Do you want to fix the problem or sound-bite it?,0
160,"Mr. President, I accept your commitment to peace, but I want you to accept my commitment to a strong national defense.",0
161,"I think that's wrong, and I think we can do better.",0
162,"Now, if you're a business person, and you can locate any place in the world, then, obviously, if you go to the country where it's 11 percent tax versus 35 percent, you're going to be able to create jobs, increase your business, make more investment, et cetera.",0
163,"Mr. President, Mr. President, you're entitled as the president to your own airplane and to your own house, but not to your own facts.",0
164,We have to be the strongest economic power in the world.,0
165,It leaves a hundred miles between the sea.,1
166,"But they wouldn't have even been formed if they left some troops behind, like 10,000 or maybe something more than that.",0
167,"I will give middle-class Americans tax cuts, meaningful ones.",0
168,And also the private sector ought to be encouraged to - to bring forward to the public the benefits from efficiency.,0
169,I want to go down the path of growth that puts Americans to work with more money coming in because they're working.,0
170,Building that kind of growth expands revenues and helps to bring down that deficit.,0
171,"When I get to Washington, coming in as an outsider, one of the major responsibilities that - that I will have on my shoulder is a complete reorganization of the - of the executive branch of government.",0
172,My opponent said this war is a matter of intelligence and law enforcement.,1
173,"And I'm not gonna exclude the American people from that process in the future, as Mr. Ford and Kissinger have done.",1
174,Mr. Ford has been there for eighteen months.,1
175,Look what happened to her.,0
176,And that's to make sure the education system works.,0
177,And that's exactly what I have proposed.,1
178,... to -- to -- to...,0
179,"As long as there is a Democratic President in the White House, we will have a strong and viable Social Security System, free of the threat of bankruptcy.",0
180,"And so we -- we -- we've got to walk the walk and not just talk the talk when it comes to energy independence, because this is probably going to be just as vital for our economy and the pain that people are feeling at the pump -- and, you know, winter's coming and home heating oil -- as it is our national security and the issue of climate change that's so important.",0
181,"First of all Ã‚ I want to make it clear, our military is the strongest, best-trained, best-equipped, best-led fighting force in the world and in the history of the world.",0
182,"I mean, you know -- now, everybody in mainstream is going to say, oh, that's not true.",0
183,And let me tell you one specific pilot program where children who don't have a chance go to this program when they're 3.,0
184,"I think that the president has to be prepared to use the power of the nation when our vital interests are threatened, when our treaty commitments are at stake, when we know that something has to be done that is in the national interest, and that is a part of being president.",0
185,"It's far better for a person sitting in the White House uh - who has a number of options to make certain that the uh - other side, so to speak, doesn't know precisely what you're going to do.",0
186,Energy independence for North America in five years.,0
187,It's been projected that they could conceivably bust the budget by $900 billion.,1
188,That we spent -- the top 1% receive 223 as opposed to 445 billion in new spending.,1
189,The Vice President did call Social Security a few years ago basically or largely a welfare program.,1
190,I think the United States can afford to do these things.,0
191,"And that -- don't take my word for it, take the executives at GM and Chrysler, some of whom are Republicans, may even support Governor Romney.",1
192,I prepared to be president.,0
193,"As president of the United States, I want to assure you, I've got a pen.",0
194,"Well, wait, but it's very important.",0
195,Than they are on research and development.,0
196,.... women don't deserve equal pay unless they do as good a job as men.,0
197,We wanted to have majority rule with the full protection of the rights of the minority.,0
198,It was the most complete documentation by any president of any agreement signed by a president on behalf of the United States.,0
199,"You'll help prevent unwanted children, unwanted pregnancies.",0
200,We need more resources there.,0
201,"And I want to bring to the White House a sense of strength and fiscal responsibility which will build a good strong foundation under which this country, or above which country can move, grow, invest, and build the best America for its people and for our kids and our grandkids.",0
202,"And she could have done this years ago, by the way.",0
203,"He went to Cincinnati and he gave a speech in which he said, ""We will plan carefully.",1
204,"They said, let us win.",1
205,"Well, we're going to be finished by 2014, and when I'm president, we'll make sure we bring our troops out by the end of 2014.",0
206,I'll tell you exactly what I think can be done.,0
207,The recession that resulted this time was the briefest since the Second World War.,1
208,"Look, she's been proven to be a liar on so many different ways.",1
209,It's our obligation to make sure that we give him the finest products in the world to put together and we don't break his legs in the process.,0
210,"And spending, I know, can be brought under control because I have fought against excessive spending my entire career.",1
211,"And, you know, yes, have we had some fights between me and the Republicans when -- when they fought back against us reining in the excesses of Wall Street?",1
212,"Ultimately, the most serious terrorist threat is if one of those radical nations, who believe in terrorism as a policy, should have atomic weapons.",0
213,He was hoping we'd turn away.,0
214,"I vote against them, my friends.",0
215,This one concerned uh - Great Britain.,0
216,"So, the polls are interesting, but uh - I don't know how to explain the fluctuation.",0
217,"As a matter of fact, I wouldn't support it if I thought that.",0
218,"So yes, I think it should be expanded.",0
219,"You pay $500 for a $5 hammer, you're not buying strength.",0
220,"There was a lot at stake there, my friends.",0
221,And it's not tax and spend economics.,0
222,There's no doubt about it.,0
223,"And the effect of these economic policies is like a massive grain embargo, which has caused farm exports to drop 20 percent.",1
224,"And yet, because of the hard work of the American people and good policies, this economy is growing.",1
225,"Well, let me just tell you before we go any further.",0
226,We have to move ahead in order to stay ahead.,0
227,"Hillary Clinton -- and it's extremely complex -- Hillary Clinton has friends that want all of these provisions, including they want the carried interest provision, which is very important to Wall Street people.",1
228,"Mine are words, and his was action.",0
229,He decides who the right people are.,1
230,"We can have serious differences about our health care policy, for example, John, because we do have a difference on health care policy, but we...",1
231,"They want support, they want more training, they want more assistance.",1
232,I want to give a tax credit for the purchase of individual health insurance plans.,0
233,"Jim, let me just come back on that -- on that point, which is these...",0
234,But there are a lot of procedures that haven't kept up in Medicare with the current times.,1
235,"And you have to understand, I'm a businessperson.",1
236,We've had a uh - higher tax load from the Treasury for the farmer in the last few years with the lowest farm income in many years.,1
237,"And John tells us that first, we've got to reduce spending before we can reduce taxes.",1
238,I think the reason that we're not saying send American troops in at this point is severalfold.,0
239,"Well, Mr. Carter has uh indicated that uh - he would give a blanket pardon to all uh - draft evaders.",1
240,"And that means that the ordinary American out there who's collecting a paycheck every day, they've got a little extra money to be able to buy a computer for their kid, to fill up on this gas that is killing them.",0
241,That's why I will never stop at anything to hunt down and kill the terrorists.,0
242,And we can see that in both Lebanon and in Central America.,0
243,"After my plan is in place, the wealthiest Americans will pay a higher percentage of taxes then they do today, the poorest of Americans, six million families, won't pay any tax at all.",1
244,That's the choice you'll have is having your employer no longer provide you health care.,0
245,"Number two, we've got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market -- and when the market returns.",0
246,And then we're going to have to get to a balanced budget.,0
247,"Franklin Roosevelt, Harry Truman, others, knew how to lead.",0
248,But we also need well-equipped and well-trained and well-supported conventional forces.,0
249,Today we're well on our way to a 600-ship navy.,1
250,"Energy is critical, and the president pointed out correctly that production of oil and gas in the U.S. is up.",1
251,"In other words, the next president, as he leads America and the free world, can be only as great as the American people are great.",0
252,I'm for doing something both on the supply side and production side and on the consumption side.,0
253,Because of our programs we have been able to significantly cut defense spending.,1
254,"But I can assure you that if I'm elected president, the whole spectrum of taxes will be gone through carefully.",0
255,"And, in fact, his cavalier attitude about nuclear weapons is so deeply troubling.",0
256,"Look, he has now said repeatedly, ""30 years this and 30 years that.""",1
257,"Well, I guess some may be better off.",0
258,"You could have done it, if you were an effective -- if you were an effective senator, you could have done it.",0
259,This is one of the most important issues in this election.,0
260,"And when we haven't done it, as in North Korea -- let me just take one more example -- in North Korea, we cut off talks.",1
261,We have people that are political hacks negotiating our trade deals.,0
262,"Mr. President, the voluntary thing that I suggested many years ago was that with a young man orphaned and raised by an aunt who died, his aunt was ineligible for Social Security insurance because she was not his mother.",1
263,"Before Senator Dole left the Senate, he and Mr. Gingrich also were recommending that we pass these tax cuts only insofar as we could pay for them.",1
264,"He raised the 30 years of experience, so let me just talk briefly about that.",1
265,It took three and a half years.,1
266,It is the -- the biggest threat to the United States is a terrorist getting their hands on nuclear weapons.,0
267,"In 1935, when the Social Security Act was written, ninety-four out of ninety-five Republicans voted against it.",1
268,He forgot to tell you he voted to tax Social Security benefits more than one time.,1
269,But it can sure be made better.,0
270,"It's small business that creates the jobs in America, and over the last four years, small business people have decided that America may not be the place to open a new business because new business startups are down to a 30-year low.",1
271,Property crime is down 40 percent.,1
272,"Well, as I say, we have to look at what an overthrow there would mean and what the government would be that would follow.",0
273,"And I'm fighting to let you get those drugs from Canada, and I'm fighting to let Medicare survive.",1
274,Do they want to follow United States leadership?,0
275,But there's a larger law.,0
276,He's called them phony and fuzzy.,0
277,"If you look at his record in the Senate, he voted to break the caps -- the spending caps -- over 200 times.",1
278,We have restored much of our economy.,1
279,But we didn't need to rush to war without a plan to win the peace.,0
280,We have the greatest people on Earth in our military.,0
281,But it has taken place.,1
282,"But we're going to have to have the courage and the sacrifice, the nerve to move in a new direction.",0
283,"And I agree that the Democratic legislators in Massachusetts might have given some advice to Republicans in Congress about how to cooperate, but the fact of the matter is, we used the same advisers, and they say it's the same plan.",1
284,"The fact is that in too many parts of our country, we still have discrimination.",0
285,"And I will tell you, I will take care of ISIS.",0
286,"In 6 years -- I budget all this in my budget, and in 6 years the college program would cost 8 billion dollars over and above what -- the present student loan program costs 4; you pay 3 billion dollars for busted loans, because we don't have an automatic recovery system, and a billion dollars in bank fees.",1
287,(Applause) But don't take it out of my time!,0
288,... including $3 million for an overhead projector in a planetarium in his hometown.,1
289,"If it ever becomes necessary, and is wise economically and essential to our security, I would have no hesitancy in suggesting a tax increase or any other policy which would defend the United States.",0
290,We have to make health care affordable and available.,0
291,Now we're fighting again to get Mosul.,1
292,When it comes to timetables it can't be the United States timetable as to how discussions take place.,0
293,In precinct politics in Texas and I've seen it at the national level.,0
294,And that's what we've done.,0
295,"I have a simple philosophy that I tried to follow for the last four years: Do what creates opportunity for all, what reinforces responsibility from all of us, and what will help us build a community where everybody's got a role to play and a place at the table.",0
296,That's what the economists tell us.,1
297,More money goes to the -- can I have a rebuttal here?,0
298,"Now, I hope people understand that Medicare today is important, but it doesn't keep up with the new medicines.",0
299,"That means we need new jobs, good jobs, with rising incomes.",0
300,"And now we are back, because we have strengthened the defenses of this country, and believe me, I don't want to see us return to those days.",0
301,Because they could go back worse than things used to be.,0
302,"Number three, women can't be charged more than men for our health insurance, which is the way it used to be before the Affordable Care Act.",1
303,"One is to control nuclear weapons, which I hope we'll get to later on because that is the most important single issue in this campaign.",0
304,"Now, I think that's going back to where we started.",0
305,"Whether you borrow the money or whether you simply tax it away from the people, you're taking the same amount of money out of the private sector, unless and until you bring down government's share of what it is taking.",0
306,"Because the fact is, almost everything she's done in foreign policy has been a mistake and it's been a disaster.",0
307,I disapprove of the issue.,0
308,"In the past, the relationship between Social Security and Medicare has been very important to providing some modicum of aid for senior citizens in the retention of health benefits.",0
309,We knew he'd been -- invaded other countries.,1
310,"Now, there are terrorists trying to get their hands on that stuff today.",0
311,I didn't say I would bring troops out in six months.,1
312,"I would suggest that after Premier Kush- Khrushchev's uh - performance in the United Nations, compared with President Eisenhower's eloquent speech, that at the present time Communist prestige in the world is at an all-time low and American prestige is at an all-time high.",0
313,It brought the crime rate way down.,1
314,We ought to protect the American flag with a constitutional amendment.,0
315,They appointed a commission I was on that commission.,1
316,"Now, tweeting happens to be a modern day form of communication.",1
317,"But to state my view precisely, the president should have a variety of things he could do.",0
318,It will create tremendous numbers of new jobs.,0
319,An African American was my chief economic development officer.,1
320,I'm concerned about the fact that so many of our securities are in the hands of foreign banks because of these massive deficits.,1
321,"Just to go down the list, we defend Japan, we defend Germany, we defend South Korea, we defend Saudi Arabia, we defend countries.",1
322,The NAFTA agreement is defective.,0
323,I talked about it earlier when I talked about the works and faith without works being dead.,1
324,We have got to stop sending jobs overseas.,0
325,We have to make sure that our technological and intelligence capabilities are better.,0
326,"Well, we are the ones who found those.",0
327,Those are the fuzzy math figures put together by some group that works for the campaign.,0
328,I have a long record of reform and fighting through on the floor of the United States Senate.,1
329,A jury found them guilty.,1
330,I believe that this country is electing more and more African Americans and Latinos and Asian Americans who are representing districts that are themselves not necessarily of a majority of their race.,0
331,I just object to the fact that we cover up and hide things.,0
332,"We're going to have to have employers in the new economy, in the economy I'm going to bring to play, that are going to be so anxious to get good workers they're going to be anxious to hire women.",0
333,I have proposed a budget which would put ten years on the life of the Medicare trust fund.,1
334,"The first priority has to be on ending the violence, dampening down the tensions that have arisen there.",0
335,We gave them $150 billion back.,1
336,"I think that the next president immediately after his election should sit down with the President, work out a timetable, and - get a decision on this before January of next year.",0
337,"When I got involved, I didn't fail.",1
338,It's all those businesses that employ one-quarter of the workers in America; these small businesses that are taxed as individuals.,1
339,"And they have been using these things to have government, through court orders, inhibit the practice of religion.",1
340,How's it going to affect my house?,0
341,People have lost their health care or are going bankrupt because they get sick.,0
342,"When Senator Obama was first asked, he said, ""Any place, any time,"" the way Barry Goldwater and Jack Kennedy agreed to do, before the intervention of the tragedy at Dallas.",1
343,But it's important that our leaders demonstrate those values from the top.,0
344,No other state programs do that.,1
345,"Well, that's a choice we have to make, isn't it?",0
346,I am not quoting myself.,0
347,"I respect him for showing tonight - for appearing here, and I thank the League of Women Voters for the opportunity that they have given me.",0
348,So there's a great deal of cynicism out there.,0
349,Are we better off when we deemphasize our values in human rights?,0
350,This is why the issue of nuclear proliferation is so important.,0
351,"The center is Afghanistan, where, incidentally, there were more Americans killed last year than the year before; where the opium production is 75 percent of the world's opium production; where 40 to 60 percent of the economy of Afghanistan is based on opium; where the elections have been postponed three times.",1
352,"Well, the first thing you do is don't let the jobs leave.",0
353,And now we have a major question facing the American people as to whether we'll deal with this deficit and get it down for the sake of a healthy recovery.,0
354,I don't think it's a question of eliminating.,0
355,There are some changes that I would like to make.,0
356,This means through tax reform and if necessary tax cuts that will stimulate more jobs.,0
357,"First of all, I'd like to thank the League of Women Voters for making this debate possible.",0
358,It means help for homeowners so that they can stay in their homes.,0
359,"There was a story today or yesterday in the Washington Post about my economic programs and my chief budget officer and my chief economic officer were both African Americans, even though the Post didn't mention that, which I think is a sign of progress.",1
360,"We let families save in an IRA, withdraw tax free to pay for the cost of education and it's all paid for.",1
361,I appreciate that very much.,0
362,"It's not accidental that the presidents of Latvia, Estonia, Lithuania, Poland, and Ukraine flew to Georgia, flew to Tbilisi, where I have spent significant amount of time with a great young president, Misha Saakashvili.",1
363,"Instead we had, I think, in the second quarter, a Consumer Price Index registering around 12%.",1
364,And the reason they blame Russia because they think they're trying to tarnish me with Russia.,0
365,"And since I first made that proposal 15 months ago, the price of gasoline, which was then $.80, has gone up to about $1.30.",1
366,I think it is good.,0
367,"We're going into debt an additional $1 billion, little more than $1 billion every working day of the year.",1
368,"And a lot of this is because of Hillary Clinton, because what's happened is, by fighting Assad, who turned out to be a lot tougher than she thought, and now she's going to say, oh, he loves Assad, she's -- he's just much tougher and much smarter than her and Obama.",1
369,"We have no plans to sell additional materiel or goods to Iran, that might be of a warlike nature.",0
370,"Our expenditures for defense, our expenditures for mutual security, our expenditures for economic assistance and technical assistance are not going to get less.",0
371,But where we're not making it is with the confirmed addicts.,0
372,"Well, I think one thing that distinguishes is experience.",0
373,And the result is our forces today are overextended.,0
374,You couldn't even have been a cardiologist because he had quotas.,0
375,They've cut the training money.,1
376,"Now, what he doesn't tell you is that he intends to, for the first time in history, tax health benefits.",1
377,"He believes, like I believe, that the Iraqis are ready to fight for their own freedom.",0
378,"When I go around -- Lester, I tell you this, I've been all over.",1
379,"In this particular situation, no.",0
380,"A lot of people are feeling, you know, uneasy.",0
381,And they should have done something with respect to Yemen and all these other places.,0
382,"We hammerlock the American companies -- American Airlines, Delta -- the last few great we have, because we're trying to do this deal with these 2 European companies.",1
383,I'm very proud of it.,0
384,And the decisions we make will have enormous practical consequences.,0
385,The interests of the American people must be at stake.,0
386,We washed our hands of Afghanistan.,0
387,That's where he was breaking the agreement.,1
388,And the test is not whether you're spending more money.,0
389,"We've got five hundred thousand more Americans out of jobs today than were out of work three months ago and since Mr. Ford's been in office two years, we've had a 50 percent increase in unemployment from five million people out of work to two and a half million more people out of work and a total of seven and a half million.",1
390,"I have a plan to have a summit with all of the allies, something this president has not yet achieved, not yet been able to do to bring people to the table.",1
391,"First of all, I take full responsibility for what happened in Somalia, but the American people must remember that those soldiers were under an American commander when that happened.",0
392,"Thank you, and good night.",0
393,Don't take my word for this.,0
394,"This is a serious threat to security in the world, and I believe we can act and we can act with our friends and allies and reduce that threat as quickly as possible, but have no doubt about the ultimate result of them acquiring nuclear weapons.",0
395,She said who is going to answer the call at 3 o'clock in the morning?,1
396,And I'm -- I'm -- understand why Senator Obama was surprised and said that the surge succeeded beyond his wildest expectations.,1
397,And that's why it is essential we not leave.,0
398,"And we need to promote maternity group homes, which my administration has done.",1
399,"We found out today that over the past 13 months, we've added 1.9 million new jobs in the last 13 months.",1
400,You're talking about 2 different subjects.,1
401,"So this is, that's a good start.",0
402,Just on Monday of this week I signed a tax bill that included an amendment that would prevent companies in the United States from taking a tax deduction if they have in any way whatsoever cooperated with the Arab boycott.,1
403,And they'll have to undergo the same scrutiny that all projects should in competition with others.,0
404,"And most importantly, we give small business a 50 percent tax credit so that after we lower the costs of health care, they also get, whether they're self-employed or a small business, a lower cost to be able to cover their employees.",1
405,It doesn't uh - make a determination as to how uh - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.,0
406,"I hope we'll have a chance to get into that tonight, because I can get right to the center of the bull's-eye and tell you why we're losing whole industries in this country.",0
407,"The first thing we did was to streamline the legal immigration system, to reduce the backlog, make it easier, simpler and cheaper for people who are waiting in line, obeying the law to make sure that they can come here and contribute to our country and that's good for our economic growth.",1
408,But it's not good enough.,0
409,"Let me say, first of all, Senator Dole has gone back and forth about whether he'd be for repealing the Brady Bill or repealing the assault weapons ban.",1
410,That's the kind of exaggeration I was just talking about.,0
411,"Keep the government as far out of it as possible, make insurance available to the poorest of the poor, through vouchers, next range in the income bracket, through tax credits, and get on about the business of pooling insurance.",0
412,I think the American people want it now.,0
413,"And I've tried to do that in public life, all through it.",1
414,I remember the floods that swept our state.,0
415,And that's the economic package again.,0
